recon_id,recon_date,trade_id,symbol,account,break_type,severity,internal_value,broker_value,notional_impact,resolved,resolved_at,notes,created_at
23338,2026-02-05,TRD_0003741,MSFT,ACCT_MAIN,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4721 @ 761.1600,NOT FOUND,3593436.36,False,,,2026-02-05 00:34:12.514957
23481,2026-02-05,TRD_0018921,NVDA,ACCT_ARB,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4589 @ 773.9100,NOT FOUND,3551472.99,False,,,2026-02-05 00:34:12.514957
23892,2026-02-05,BRK_ONLY_93,MSFT,ACCT_HEDGE,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: SELL Qty: 4963 @ 712.1800,3534549.34,False,,,2026-02-05 00:34:12.514957
23876,2026-02-05,BRK_ONLY_77,QQQ,ACCT_ARB,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: BUY Qty: 4817 @ 733.4400,3532980.48,False,,,2026-02-05 00:34:12.514957
23703,2026-02-05,TRD_0041241,TSLA,ACCT_ARB,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4492 @ 784.2200,NOT FOUND,3522716.24,False,,,2026-02-05 00:34:12.514957
23463,2026-02-05,TRD_0016643,GOOGL,ACCT_ARB,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4682 @ 738.5700,NOT FOUND,3457984.74,False,,,2026-02-05 00:34:12.514957
23535,2026-02-05,TRD_0025165,AAPL,ACCT_HEDGE,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4408 @ 778.5600,NOT FOUND,3431892.48,False,,,2026-02-05 00:34:12.514957
23711,2026-02-05,TRD_0041921,INTC,ACCT_HEDGE,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4320 @ 791.1400,NOT FOUND,3417724.8,False,,,2026-02-05 00:34:12.514957
23496,2026-02-05,TRD_0021020,TSLA,ACCT_FLOW,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4380 @ 779.8200,NOT FOUND,3415611.6,False,,,2026-02-05 00:34:12.514957
23573,2026-02-05,TRD_0028695,AMZN,ACCT_FLOW,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4906 @ 695.5900,NOT FOUND,3412564.54,False,,,2026-02-05 00:34:12.514957
23880,2026-02-05,BRK_ONLY_81,QQQ,ACCT_FLOW,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: BUY Qty: 4587 @ 716.3800,3286035.06,False,,,2026-02-05 00:34:12.514957
23712,2026-02-05,TRD_0041947,QQQ,ACCT_MAIN,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4857 @ 667.0200,NOT FOUND,3239716.14,False,,,2026-02-05 00:34:12.514957
23838,2026-02-05,BRK_ONLY_39,QQQ,ACCT_MAIN,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: BUY Qty: 4653 @ 695.8200,3237650.46,False,,,2026-02-05 00:34:12.514957
23684,2026-02-05,TRD_0039351,TSLA,ACCT_FLOW,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4352 @ 743.7000,NOT FOUND,3236582.4,False,,,2026-02-05 00:34:12.514957
23501,2026-02-05,TRD_0021680,INTC,ACCT_MAIN,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4738 @ 681.9600,NOT FOUND,3231126.48,False,,,2026-02-05 00:34:12.514957
23672,2026-02-05,TRD_0038291,INTC,ACCT_FLOW,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4441 @ 713.2500,NOT FOUND,3167543.25,False,,,2026-02-05 00:34:12.514957
23523,2026-02-05,TRD_0023922,SPY,ACCT_FLOW,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4417 @ 709.5900,NOT FOUND,3134259.03,False,,,2026-02-05 00:34:12.514957
23802,2026-02-05,BRK_ONLY_3,AAPL,ACCT_HEDGE,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: BUY Qty: 4959 @ 631.5700,3131955.63,False,,,2026-02-05 00:34:12.514957
23848,2026-02-05,BRK_ONLY_49,AAPL,ACCT_ARB,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: SELL Qty: 4437 @ 702.3000,3116105.1,False,,,2026-02-05 00:34:12.514957
23403,2026-02-05,TRD_0010378,AMZN,ACCT_HEDGE,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4041 @ 770.4200,NOT FOUND,3113267.22,False,,,2026-02-05 00:34:12.514957
23618,2026-02-05,TRD_0033222,GOOGL,ACCT_MAIN,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4006 @ 774.5800,NOT FOUND,3102967.48,False,,,2026-02-05 00:34:12.514957
