recon_date,trade_id,symbol,account,break_type,severity,internal_value,broker_value,notional_impact,resolved
2026-02-04,TRD_0037595,QQQ,ACCT_FLOW,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4821 @ 797.4500,NOT FOUND,3844506.45,False
2026-02-04,TRD_0032955,MSFT,ACCT_HEDGE,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4930 @ 729.6500,NOT FOUND,3597174.5,False
2026-02-04,TRD_0011526,AAPL,ACCT_MAIN,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4649 @ 764.9700,NOT FOUND,3556345.53,False
2026-02-04,TRD_0010258,GOOGL,ACCT_ARB,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4566 @ 750.1100,NOT FOUND,3425002.26,False
2026-02-04,BRK_ONLY_11,AMD,ACCT_MAIN,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: SELL Qty: 4661 @ 729.2100,3398847.81,False
2026-02-04,BRK_ONLY_2,MSFT,ACCT_HEDGE,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: BUY Qty: 4553 @ 743.8900,3386931.17,False
2026-02-04,TRD_0018279,AMD,ACCT_HEDGE,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4700 @ 702.9900,NOT FOUND,3304053.0,False
2026-02-04,TRD_0036423,NVDA,ACCT_FLOW,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4482 @ 734.3700,NOT FOUND,3291446.34,False
2026-02-04,TRD_0020009,SPY,ACCT_FLOW,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4747 @ 686.9200,NOT FOUND,3260809.24,False
2026-02-04,TRD_0003818,NVDA,ACCT_HEDGE,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4326 @ 753.2000,NOT FOUND,3258343.2,False
2026-02-04,BRK_ONLY_24,NVDA,ACCT_FLOW,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: BUY Qty: 4606 @ 706.2500,3252987.5,False
2026-02-04,TRD_0042913,NVDA,ACCT_ARB,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4218 @ 753.2100,NOT FOUND,3177039.78,False
2026-02-04,TRD_0042793,AAPL,ACCT_FLOW,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4540 @ 696.4000,NOT FOUND,3161656.0,False
2026-02-04,TRD_0024890,SPY,ACCT_MAIN,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4625 @ 676.1700,NOT FOUND,3127286.25,False
2026-02-04,TRD_0020248,AAPL,ACCT_ARB,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4012 @ 772.0500,NOT FOUND,3097464.6,False
2026-02-04,TRD_0018695,GOOGL,ACCT_MAIN,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4379 @ 687.2700,NOT FOUND,3009555.33,False
2026-02-04,TRD_0019394,AAPL,ACCT_HEDGE,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4907 @ 610.6100,NOT FOUND,2996263.27,False
2026-02-04,TRD_0023435,AAPL,ACCT_ARB,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4992 @ 599.4600,NOT FOUND,2992504.32,False
2026-02-04,BRK_ONLY_238,MSFT,ACCT_HEDGE,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: BUY Qty: 3944 @ 758.4300,2991247.92,False
2026-02-04,BRK_ONLY_55,GOOGL,ACCT_HEDGE,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: SELL Qty: 4454 @ 670.1700,2984937.18,False
2026-02-04,TRD_0028315,MSFT,ACCT_MAIN,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 3955 @ 751.1700,NOT FOUND,2970877.35,False
2026-02-04,TRD_0037829,SPY,ACCT_FLOW,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 3849 @ 764.6200,NOT FOUND,2943022.38,False
2026-02-04,TRD_0006735,AMD,ACCT_HEDGE,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4606 @ 635.1300,NOT FOUND,2925408.78,False
2026-02-04,TRD_0034534,MSFT,ACCT_HEDGE,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4241 @ 683.8100,NOT FOUND,2900038.21,False
2026-02-04,BRK_ONLY_77,TSLA,ACCT_FLOW,MISSING_IN_INTERNAL,CRITICAL,NOT FOUND,Side: BUY Qty: 4188 @ 681.7400,2855127.12,False
2026-02-04,TRD_0013360,MSFT,ACCT_HEDGE,MISSING_IN_BROKER,CRITICAL,Side: BUY Qty: 4449 @ 639.9000,NOT FOUND,2846915.1,False
2026-02-04,TRD_0020964,GOOGL,ACCT_ARB,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4987 @ 566.1600,NOT FOUND,2823439.92,False
2026-02-04,TRD_0033861,NVDA,ACCT_FLOW,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 3677 @ 766.0300,NOT FOUND,2816692.31,False
2026-02-04,TRD_0009197,TSLA,ACCT_FLOW,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 3756 @ 746.0200,NOT FOUND,2802051.12,False
2026-02-04,TRD_0011997,MSFT,ACCT_HEDGE,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 4246 @ 659.0300,NOT FOUND,2798241.38,False
2026-02-04,TRD_0012298,INTC,ACCT_HEDGE,MISSING_IN_BROKER,CRITICAL,Side: SELL Qty: 3815 @ 732.5700,NOT FOUND,2794754.55,False
