account,symbol,net_position
ACCT_ARB,AAPL,-41143
ACCT_ARB,AMD,66409
ACCT_ARB,AMZN,16603
ACCT_ARB,GOOGL,-95719
ACCT_ARB,INTC,116875
ACCT_ARB,MSFT,54959
ACCT_ARB,NVDA,16050
ACCT_ARB,QQQ,-20239
ACCT_ARB,SPY,-190550
ACCT_ARB,TSLA,57323
ACCT_FLOW,AAPL,-106473
ACCT_FLOW,AMD,-3521
ACCT_FLOW,AMZN,65591
ACCT_FLOW,GOOGL,197786
ACCT_FLOW,INTC,4281
ACCT_FLOW,MSFT,-111305
ACCT_FLOW,NVDA,46794
ACCT_FLOW,QQQ,-35118
ACCT_FLOW,SPY,-90859
ACCT_FLOW,TSLA,22317
ACCT_HEDGE,AAPL,-150094
ACCT_HEDGE,AMD,-50912
ACCT_HEDGE,AMZN,132631
ACCT_HEDGE,GOOGL,-80863
ACCT_HEDGE,INTC,-96890
ACCT_HEDGE,MSFT,30226
ACCT_HEDGE,NVDA,-133597
ACCT_HEDGE,QQQ,8569
ACCT_HEDGE,SPY,73673
ACCT_HEDGE,TSLA,30965
ACCT_MAIN,AAPL,74583
ACCT_MAIN,AMD,-63500
ACCT_MAIN,AMZN,96095
ACCT_MAIN,GOOGL,-59966
ACCT_MAIN,INTC,69788
ACCT_MAIN,MSFT,-28213
ACCT_MAIN,NVDA,41807
ACCT_MAIN,QQQ,-31646
ACCT_MAIN,SPY,119137
ACCT_MAIN,TSLA,-90260
