account,symbol,net_position,position_date
ACCT_ARB,AAPL,33018,2026-02-01
ACCT_ARB,AMD,-92203,2026-02-01
ACCT_ARB,AMZN,52733,2026-02-01
ACCT_ARB,GOOGL,50505,2026-02-01
ACCT_ARB,INTC,98475,2026-02-01
ACCT_ARB,MSFT,-62061,2026-02-01
ACCT_ARB,NVDA,-74539,2026-02-01
ACCT_ARB,QQQ,32282,2026-02-01
ACCT_ARB,SPY,-170541,2026-02-01
ACCT_ARB,TSLA,-75358,2026-02-01
ACCT_FLOW,AAPL,121652,2026-02-01
ACCT_FLOW,AMD,-110468,2026-02-01
ACCT_FLOW,AMZN,65574,2026-02-01
ACCT_FLOW,GOOGL,14800,2026-02-01
ACCT_FLOW,INTC,-73901,2026-02-01
ACCT_FLOW,MSFT,23753,2026-02-01
ACCT_FLOW,NVDA,173197,2026-02-01
ACCT_FLOW,QQQ,135625,2026-02-01
ACCT_FLOW,SPY,39216,2026-02-01
ACCT_FLOW,TSLA,-12980,2026-02-01
ACCT_HEDGE,AAPL,57664,2026-02-01
ACCT_HEDGE,AMD,-77759,2026-02-01
ACCT_HEDGE,AMZN,93097,2026-02-01
ACCT_HEDGE,GOOGL,82851,2026-02-01
ACCT_HEDGE,INTC,-9682,2026-02-01
ACCT_HEDGE,MSFT,3543,2026-02-01
ACCT_HEDGE,NVDA,46945,2026-02-01
ACCT_HEDGE,QQQ,9320,2026-02-01
ACCT_HEDGE,SPY,-3500,2026-02-01
ACCT_HEDGE,TSLA,26767,2026-02-01
ACCT_MAIN,AAPL,15304,2026-02-01
ACCT_MAIN,AMD,46632,2026-02-01
ACCT_MAIN,AMZN,-100255,2026-02-01
ACCT_MAIN,GOOGL,-207949,2026-02-01
ACCT_MAIN,INTC,30583,2026-02-01
ACCT_MAIN,MSFT,-109209,2026-02-01
ACCT_MAIN,NVDA,104387,2026-02-01
ACCT_MAIN,QQQ,89253,2026-02-01
ACCT_MAIN,SPY,12968,2026-02-01
ACCT_MAIN,TSLA,13606,2026-02-01
