account,symbol,net_position
ACCT_ARB,AAPL,-37127
ACCT_ARB,AMD,57184
ACCT_ARB,AMZN,5190
ACCT_ARB,GOOGL,-121500
ACCT_ARB,INTC,133880
ACCT_ARB,MSFT,52045
ACCT_ARB,NVDA,6181
ACCT_ARB,QQQ,-19466
ACCT_ARB,SPY,-196652
ACCT_ARB,TSLA,48872
ACCT_FLOW,AAPL,-113353
ACCT_FLOW,AMD,6202
ACCT_FLOW,AMZN,74490
ACCT_FLOW,GOOGL,210844
ACCT_FLOW,INTC,18461
ACCT_FLOW,MSFT,-106016
ACCT_FLOW,NVDA,46686
ACCT_FLOW,QQQ,-43039
ACCT_FLOW,SPY,-107434
ACCT_FLOW,TSLA,2284
ACCT_HEDGE,AAPL,-155047
ACCT_HEDGE,AMD,-64988
ACCT_HEDGE,AMZN,143137
ACCT_HEDGE,GOOGL,-99751
ACCT_HEDGE,INTC,-97244
ACCT_HEDGE,MSFT,34327
ACCT_HEDGE,NVDA,-113912
ACCT_HEDGE,QQQ,-15715
ACCT_HEDGE,SPY,71772
ACCT_HEDGE,TSLA,35937
ACCT_MAIN,AAPL,77500
ACCT_MAIN,AMD,-59821
ACCT_MAIN,AMZN,78457
ACCT_MAIN,GOOGL,-53929
ACCT_MAIN,INTC,77450
ACCT_MAIN,MSFT,-31049
ACCT_MAIN,NVDA,61651
ACCT_MAIN,QQQ,-51798
ACCT_MAIN,SPY,118238
ACCT_MAIN,TSLA,-84077
